Date,Adj Close,% change,1monthchange
2011-04-12,1.643332958,,
2011-04-13,1.661999941,1.1359,
2011-04-14,1.675999999,0.8424,
2011-04-15,1.705332994,1.7502,
2011-04-18,1.668666959,-2.1501,
2011-04-19,1.677332997,0.5193,
2011-04-20,1.716667056,2.345,
2011-04-21,1.782667041,3.8447,
2011-04-25,1.759333014,-1.3089,
2011-04-26,1.795333028,2.0462,
2011-04-27,1.805333018,0.557,
2011-04-28,1.843999982,2.1418,
2011-04-29,1.840000033,-0.2169,11.9676
2011-05-02,1.830000043,-0.5435,
2011-05-03,1.79133296,-2.113,
2011-05-04,1.779332995,-0.6699,
2011-05-05,1.762666941,-0.9366,
2011-05-06,1.807999969,2.5718,
2011-05-09,1.86066699,2.913,
2011-05-10,1.888666987,1.5048,
2011-05-11,1.804666996,-4.4476,
2011-05-12,1.844666958,2.2165,
2011-05-13,1.836666942,-0.4337,
2011-05-16,1.773332953,-3.4483,
2011-05-17,1.730666995,-2.406,
2011-05-18,1.756667018,1.5023,
2011-05-19,1.879999995,7.0209,
2011-05-20,1.864667058,-0.8156,
2011-05-23,1.787999988,-4.1116,
2011-05-24,1.78133297,-0.3729,
2011-05-25,1.932000041,8.4581,
2011-05-26,1.965332985,1.7253,
2011-05-27,1.970000029,0.2375,
2011-05-31,2.009332895,1.9966,9.7996
2011-06-01,1.901332974,-5.3749,
2011-06-02,1.917333007,0.8415,
2011-06-03,2.008666992,4.7636,
2011-06-06,1.913333058,-4.7461,
2011-06-07,1.891332984,-1.1498,
2011-06-08,1.807999969,-4.406,
2011-06-09,1.841333032,1.8436,
2011-06-10,1.857332945,0.8689,
2011-06-13,1.895333052,2.046,
2011-06-14,1.906666994,0.598,
2011-06-15,1.821333051,-4.4756,
2011-06-16,1.766667008,-3.0014,
2011-06-17,1.766667008,0.0,
2011-06-20,1.733999968,-1.8491,
2011-06-21,1.83533299,5.8439,
2011-06-22,1.81400001,-1.1623,
2011-06-23,1.847332954,1.8375,
2011-06-24,1.838000059,-0.5052,
2011-06-27,1.830667019,-0.399,
2011-06-28,1.873999953,2.3671,
2011-06-29,1.886000037,0.6403,
2011-06-30,1.942000031,2.9692,2.1389
2011-07-01,1.934666991,-0.3776,
2011-07-05,1.942667007,0.4135,
2011-07-06,1.930667043,-0.6177,
2011-07-07,1.981999993,2.6588,
2011-07-08,1.920667052,-3.0945,
2011-07-11,1.889999986,-1.5967,
2011-07-12,1.878000021,-0.6349,
2011-07-13,1.909332991,1.6684,
2011-07-14,1.840667009,-3.5963,
2011-07-15,1.838667035,-0.1087,
2011-07-18,1.815333009,-1.2691,
2011-07-19,1.859333038,2.4238,
2011-07-20,1.912667036,2.8684,
2011-07-21,1.913333058,0.0348,
2011-07-22,1.952666998,2.0558,
2011-07-25,1.899333,-2.7313,
2011-07-26,1.866667032,-1.7199,
2011-07-27,1.842666984,-1.2857,
2011-07-28,1.878000021,1.9175,
2011-07-29,1.878000021,0.0,-2.929
2011-08-01,1.917999983,2.1299,
2011-08-02,1.822667003,-4.9704,
2011-08-03,1.813333035,-0.5121,
2011-08-04,1.649999976,-9.0073,
2011-08-05,1.616000056,-2.0606,
2011-08-08,1.575999975,-2.4753,
2011-08-09,1.670667052,6.0068,
2011-08-10,1.588000059,-4.9481,
2011-08-11,1.686666965,6.2133,
2011-08-12,1.753999949,3.9921,
2011-08-15,1.748667002,-0.304,
2011-08-16,1.74000001,-0.4956,
2011-08-17,1.722000003,-1.0345,
2011-08-18,1.617333055,-6.0782,
2011-08-19,1.486667037,-8.0791,
2011-08-22,1.463333011,-1.5696,
2011-08-23,1.530666947,4.6014,
2011-08-24,1.591333032,3.9634,
2011-08-25,1.540667057,-3.1839,
2011-08-26,1.582000017,2.6828,
2011-08-29,1.647333026,4.1298,
2011-08-30,1.64199996,-0.3237,
2011-08-31,1.649333,0.4466,-14.0077
2011-09-01,1.600000024,-2.9911,
2011-09-02,1.537999988,-3.875,
2011-09-06,1.529332995,-0.5635,
2011-09-07,1.589333057,3.9233,
2011-09-08,1.574000001,-0.9647,
2011-09-09,1.53133297,-2.7107,
2011-09-12,1.525333047,-0.3918,
2011-09-13,1.605332971,5.2448,
2011-09-14,1.622666955,1.0798,
2011-09-15,1.65466702,1.9721,
2011-09-16,1.720000029,3.9484,
2011-09-19,1.718000054,-0.1163,
2011-09-20,1.733999968,0.9313,
2011-09-21,1.723333001,-0.6152,
2011-09-22,1.70866704,-0.851,
2011-09-23,1.758666992,2.9263,
2011-09-26,1.701333046,-3.2601,
2011-09-27,1.746000051,2.6254,
2011-09-28,1.63933301,-6.1092,
2011-09-29,1.60800004,-1.9113,
2011-09-30,1.626000047,1.1194,1.625
2011-10-03,1.582000017,-2.706,
2011-10-04,1.577332973,-0.295,
2011-10-05,1.691333055,7.2274,
2011-10-06,1.797333002,6.2672,
2011-10-07,1.799332976,0.1113,
2011-10-10,1.858667016,3.2976,
2011-10-11,1.840667009,-0.9684,
2011-10-12,1.853332996,0.6881,
2011-10-13,1.862666965,0.5036,
2011-10-14,1.870000005,0.3937,
2011-10-17,1.827999949,-2.246,
2011-10-18,1.88933301,3.3552,
2011-10-19,1.838000059,-2.717,
2011-10-20,1.822667003,-0.8342,
2011-10-21,1.868667006,2.5238,
2011-10-24,1.903332949,1.8551,
2011-10-25,1.883332968,-1.0508,
2011-10-26,1.865332961,-0.9558,
2011-10-27,1.917333007,2.7877,
2011-10-28,1.991333008,3.8595,
2011-10-31,1.957999945,-1.6739,23.7674
2011-11-01,1.925333023,-1.6684,
2011-11-02,1.914000034,-0.5886,
2011-11-03,2.164000034,13.0617,
2011-11-04,2.154000044,-0.4621,
2011-11-07,2.084666967,-3.2188,
2011-11-08,2.122667074,1.8228,
2011-11-09,2.058666945,-3.0151,
2011-11-10,2.088666916,1.4573,
2011-11-11,2.24266696,7.3731,
2011-11-14,2.214667082,-1.2485,
2011-11-15,2.262000084,2.1373,
2011-11-16,2.329333067,2.9767,
2011-11-17,2.245332956,-3.6062,
2011-11-18,2.17333293,-3.2067,
2011-11-21,2.117332935,-2.5767,
2011-11-22,2.138000011,0.9761,
2011-11-23,2.096667051,-1.9333,
2011-11-25,2.11066699,0.6677,
2011-11-28,2.170666933,2.8427,
2011-11-29,2.116667032,-2.4877,
2011-11-30,2.182667017,3.1181,13.3657
2011-12-01,2.17333293,-0.4276,
2011-12-02,2.220000029,2.1473,
2011-12-05,2.294667006,3.3634,
2011-12-06,2.324666977,1.3074,
2011-12-07,2.279333115,-1.9501,
2011-12-08,2.059333086,-9.6519,
2011-12-09,2.069333076,0.4856,
2011-12-12,2.027333021,-2.0296,
2011-12-13,1.963333011,-3.1569,
2011-12-14,1.90199995,-3.1239,
2011-12-15,1.907999992,0.3155,
2011-12-16,1.866667032,-2.1663,
2011-12-19,1.850000024,-0.8929,
2011-12-20,1.860000014,0.5405,
2011-12-21,1.838000059,-1.1828,
2011-12-22,1.851333022,0.7254,
2011-12-23,1.860000014,0.4681,
2011-12-27,1.90466702,2.4015,
2011-12-28,1.900666952,-0.21,
2011-12-29,1.915333033,0.7716,
2011-12-30,1.904000044,-0.5917,-12.3926
2012-01-03,1.871999979,-1.6807,
2012-01-04,1.847332954,-1.3177,
2012-01-05,1.807999969,-2.1292,
2012-01-06,1.79400003,-0.7743,
2012-01-09,1.816666961,1.2635,
2012-01-10,1.841333032,1.3578,
2012-01-11,1.881999969,2.2086,
2012-01-12,1.883332968,0.0708,
2012-01-13,1.519333005,-19.3274,
2012-01-17,1.773332953,16.7179,
2012-01-18,1.787333012,0.7895,
2012-01-19,1.784000039,-0.1865,
2012-01-20,1.773332953,-0.5979,
2012-01-23,1.784667015,0.6391,
2012-01-24,1.827999949,2.4281,
2012-01-25,1.864667058,2.0059,
2012-01-26,1.929332972,3.468,
2012-01-27,1.955332994,1.3476,
2012-01-30,1.971333027,0.8183,
2012-01-31,1.937999964,-1.6909,3.5256
2012-02-01,1.972000003,1.7544,
2012-02-02,2.016666889,2.2651,
2012-02-03,2.07666707,2.9752,
2012-02-06,2.119999886,2.0867,
2012-02-07,2.106667042,-0.6289,
2012-02-08,2.128667116,1.0443,
2012-02-09,2.171999931,2.0357,
2012-02-10,2.073333025,-4.5427,
2012-02-13,2.099333048,1.254,
2012-02-14,2.211333036,5.335,
2012-02-15,2.24000001,1.2964,
2012-02-16,2.278666973,1.7262,
2012-02-17,2.331332922,2.3113,
2012-02-21,2.299999952,-1.344,
2012-02-22,2.28133297,-0.8116,
2012-02-23,2.302000046,0.9059,
2012-02-24,2.25,-2.2589,
2012-02-27,2.241333008,-0.3852,
2012-02-28,2.253999949,0.5652,
2012-02-29,2.227333069,-1.1831,12.9479
2012-03-01,2.29399991,2.9931,
2012-03-02,2.269332886,-1.0753,
2012-03-05,2.251332998,-0.7932,
2012-03-06,2.207333088,-1.9544,
2012-03-07,2.207999945,0.0302,
2012-03-08,2.204667091,-0.1509,
2012-03-09,2.315999985,5.0499,
2012-03-12,2.400666952,3.6557,
2012-03-13,2.405999899,0.2221,
2012-03-14,2.352667093,-2.2167,
2012-03-15,2.333333015,-0.8218,
2012-03-16,2.354666948,0.9143,
2012-03-19,2.332000017,-0.9626,
2012-03-20,2.330667019,-0.0572,
2012-03-21,2.343333006,0.5434,
2012-03-22,2.293333054,-2.1337,
2012-03-23,2.272000074,-0.9302,
2012-03-26,2.493333101,9.7418,
2012-03-27,2.529333115,1.4439,
2012-03-28,2.523333073,-0.2372,
2012-03-29,2.488667011,-1.3738,
2012-03-30,2.482666969,-0.2411,8.2244
2012-04-02,2.438667059,-1.7723,
2012-04-03,2.53399992,3.9092,
2012-04-04,2.333333015,-7.919,
2012-04-05,2.298666954,-1.4857,
2012-04-09,2.210000038,-3.8573,
2012-04-10,2.164000034,-2.0814,
2012-04-11,2.20600009,1.9409,
2012-04-12,2.229332924,1.0577,
2012-04-13,2.239332914,0.4486,
2012-04-16,2.150000095,-3.9893,
2012-04-17,2.149333,-0.031,
2012-04-18,2.177333117,1.3027,
2012-04-19,2.210666895,1.5309,
2012-04-20,2.210666895,0.0,
2012-04-23,2.129333019,-3.6792,
2012-04-24,2.121332884,-0.3757,
2012-04-25,2.194000006,3.4255,
2012-04-26,2.232666969,1.7624,
2012-04-27,2.222666979,-0.4479,
2012-04-30,2.20866704,-0.6299,-9.4314
2012-05-01,2.252000093,1.962,
2012-05-02,2.262666941,0.4737,
2012-05-03,2.164000034,-4.3606,
2012-05-04,2.121999979,-1.9409,
2012-05-07,2.164666891,2.0107,
2012-05-08,2.012666941,-7.0219,
2012-05-09,2.003999949,-0.4306,
2012-05-10,2.197333097,9.6474,
2012-05-11,2.150000095,-2.1541,
2012-05-14,2.003999949,-6.7907,
2012-05-15,1.962000012,-2.0958,
2012-05-16,1.945333004,-0.8495,
2012-05-17,1.90466702,-2.0904,
2012-05-18,1.837332964,-3.5352,
2012-05-21,1.917999983,4.3904,
2012-05-22,2.053333044,7.0559,
2012-05-23,2.068000078,0.7143,
2012-05-24,2.018666983,-2.3855,
2012-05-25,1.987333059,-1.5522,
2012-05-29,2.112667084,6.3066,
2012-05-30,2.027333021,-4.0392,
2012-05-31,1.966667056,-2.9924,-12.6702
2012-06-01,1.876667023,-4.5763,
2012-06-04,1.858667016,-0.9591,
2012-06-05,1.86066699,0.1076,
2012-06-06,1.947999954,4.6936,
2012-06-07,1.928666949,-0.9925,
2012-06-08,2.005332947,3.9751,
2012-06-11,1.941333055,-3.1915,
2012-06-12,1.97733295,1.8544,
2012-06-13,1.984666944,0.3709,
2012-06-14,1.959332943,-1.2765,
2012-06-15,1.993999958,1.7693,
2012-06-18,2.122667074,6.4527,
2012-06-19,2.13933301,0.7851,
2012-06-20,2.252000093,5.2665,
2012-06-21,2.145999908,-4.7069,
2012-06-22,2.25266695,4.9705,
2012-06-25,2.207333088,-2.0125,
2012-06-26,2.107332945,-4.5304,
2012-06-27,2.130666971,1.1073,
2012-06-28,2.094000101,-1.7209,
2012-06-29,2.085999966,-0.3821,11.1545
2012-07-02,2.026667118,-2.8443,
2012-07-03,2.04399991,0.8552,
2012-07-05,2.082000017,1.8591,
2012-07-06,2.065999985,-0.7685,
2012-07-09,2.099333048,1.6134,
2012-07-10,2.084666967,-0.6986,
2012-07-11,2.100667,0.7675,
2012-07-12,2.180000067,3.7766,
2012-07-13,2.283333063,4.74,
2012-07-16,2.397332907,4.9927,
2012-07-17,2.223332882,-7.2581,
2012-07-18,2.143332958,-3.5982,
2012-07-19,2.151333094,0.3733,
2012-07-20,2.119333029,-1.4875,
2012-07-23,2.04399991,-3.5546,
2012-07-24,1.989333034,-2.6745,
2012-07-25,1.929999948,-2.9826,
2012-07-26,1.875332952,-2.8325,
2012-07-27,1.967332959,4.9058,
2012-07-30,1.823333025,-7.3196,
2012-07-31,1.827999949,0.256,-9.8027
2012-08-01,1.75,-4.267,
2012-08-02,1.74000001,-0.5714,
2012-08-03,1.817999959,4.4828,
2012-08-06,1.884667039,3.6671,
2012-08-07,2.016666889,7.0039,
2012-08-08,1.939332962,-3.8347,
2012-08-09,1.960667014,1.1001,
